Transaction Date,Transaction Type,Fee Name,Transaction Number,Store,Details,Seller SKU,Lazada SKU,Amount,VAT in Amount,WHT Amount,WHT included in Amount,Statement,Paid Status,Order No.,Order Item No.,Order Item Status,Shipping Provider,Shipping Speed,Shipment Type,Reference,Comment,PaymentRefId,Month & Year,Price Category,Order Number,Shipping Fee Paid by Seller,Payment Fee,Shipping Fee (Paid By Customer),Item Price Credit,Auto. Shipping fee subsidy (by Lazada),Promotional Charges Vouchers,Shipping Fee Voucher (by Lazada),Shipping Fee Subsidy (By Seller),Free Shipping Max Fee,Reversal Item Price,Shipping Fee Refund to Customer,Lazada Bonus,Lazada Bonus - LZD co-fund,Shipping Fee Voucher Refund to Laz,Reversal of Free Shipping Max Fee,Commission,Reversal Commission,Sponsored Product Fee,Sponsored Discovery - Top up,,,,,Actual,Needed,Difference
23-Feb-22,Orders-Sales,Item Price Credit,530536403333092,RMJ,SEC YAMAHA GRAVIS OWL BRACKET,2424172025-1634191718296-0,2424172025_PH-11046276804,1899,4.34,0,No,15 Mar 2021 - 21 Mar 2021,paid,439257960133425,458940705263876,Delivered,LBC,standard,Dropshipping,382192714029470,,,February 2022,Low - Medium,402531175267279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
23-Feb-22,Orders-Lazada Fees,Commission,531591820996745,RMJ,SEC YAMAHA GRAVIS OWL BRACKET,2424172025-1634191718296-0,2424172025_PH-11046276804,-18.93,0,0,No,15 Mar 2021 - 21 Mar 2021,paid,419841975076199,374551110586044,Delivered,LBC,standard,Dropshipping,371706944361909,,,February 2022, ,400368091620936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
23-Feb-22,Orders-Marketing Fees,Free Shipping Max Fee,511735219646622,RMJ,SEC YAMAHA GRAVIS OWL BRACKET,2424172025-1634191718296-0,2424172025_PH-11046276804,-60,33.86,0,No,15 Mar 2021 - 21 Mar 2021,paid,432771522238593,447049346242303,Delivered,LBC,standard,Dropshipping,549022896387908,,,February 2022, ,399363078152423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
23-Feb-22,Orders-Lazada Fees,Payment Fee,549080727054836,RMJ,Corsa Platinum M5 110/70 x 13 TUBELESS TIRE,PZACORSAPLATINUMM5110/70-13,2029201382_PH-8960392475,-34.94,33.86,0,No,15 Mar 2021 - 21 Mar 2021,paid,378736288940802,388897599583501,Delivered,LBC,standard,Dropshipping,378818692373415,,,February 2022, ,416475306552586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
23-Feb-22,Orders-Sales,Item Price Credit,518987303319259,RMJ,Corsa Platinum M5 110/70 x 13 TUBELESS TIRE,PZACORSAPLATINUMM5110/70-13,2029201382_PH-8960392475,1560,4.55,0,No,15 Mar 2021 - 21 Mar 2021,paid,364826219815149,413015589099873,Delivered,LBC,standard,Dropshipping,467047592302728,,,February 2022,Low - Medium,415360535823673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
23-Feb-22,Orders-Lazada Fees,Commission,548811553161455,RMJ,Corsa Platinum M5 110/70 x 13 TUBELESS TIRE,PZACORSAPLATINUMM5110/70-13,2029201382_PH-8960392475,-15.55,0,0,No,15 Mar 2021 - 21 Mar 2021,paid,394134501884122,460171553833266,Delivered,LBC,standard,Dropshipping,474333438893435,,,February 2022, ,413203664061826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
23-Feb-22,Orders-Marketing Fees,Free Shipping Max Fee,473168184375734,RMJ,Corsa Platinum M5 110/70 x 13 TUBELESS TIRE,PZACORSAPLATINUMM5110/70-13,2029201382_PH-8960392475,-60,0.04,0,No,15 Mar 2021 - 21 Mar 2021,paid,440214073148847,371980086981717,Delivered,LEX PH,standard,Dropshipping,517332725526531,,,February 2022, ,413509331864222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
23-Feb-22,Orders-Lazada Fees,Payment Fee,509170200398856,RMJ,SEC YAMAHA GRAVIS OWL BRACKET,2424172025-1634191718296-0,2424172025_PH-11046276804,-45.24,0,0,No,15 Mar 2021 - 21 Mar 2021,paid,442995013846465,406426758452454,Delivered,LEX PH,standard,Dropshipping,471064878895034,,,February 2022, ,413026968704480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
23-Feb-22,Orders-Sales,Item Price Credit,477561939270906,RMJ,SEC YAMAHA GRAVIS OWL BRACKET,2424172025-1634191718296-0,2424172025_PH-11046276804,1899,0.04,0,No,15 Mar 2021 - 21 Mar 2021,paid,357182698867027,383302043208216,Delivered,LEX PH,standard,Dropshipping,509070638347553,,,February 2022,Low - Medium,408576173335713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
23-Feb-22,Orders-Lazada Fees,Commission,514987921261919,RMJ,SEC YAMAHA GRAVIS OWL BRACKET,2424172025-1634191718296-0,2424172025_PH-11046276804,-18.93,0,0,No,15 Mar 2021 - 21 Mar 2021,paid,427814803134492,418121972539129,Delivered,LEX PH,standard,Dropshipping,476938099106142,,,February 2022, ,406807523311709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
23-Feb-22,Orders-Marketing Fees,Free Shipping Max Fee,477077844124202,RMJ,SEC YAMAHA GRAVIS OWL BRACKET,2424172025-1634191718296-0,2424172025_PH-11046276804,-60,0.04,0,No,15 Mar 2021 - 21 Mar 2021,paid,407538060456647,384834201798258,Delivered,LEX PH,standard,Dropshipping,549972502947569,,,February 2022, ,401916662643673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
