Transaction Date,Transaction Type,Fee Name,Transaction Number,Store,Details,Seller SKU,Lazada SKU,Amount,VAT in Amount,WHT Amount,WHT included in Amount,Statement,Paid Status,Order No.,Order Item No.,Order Item Status,Shipping Provider,Shipping Speed,Shipment Type,Reference,Comment,PaymentRefId,Month & Year,Price Category,Order Number,Shipping Fee Paid by Seller,Payment Fee,Shipping Fee (Paid By Customer),Item Price Credit,Auto. Shipping fee subsidy (by Lazada),Promotional Charges Vouchers,Shipping Fee Voucher (by Lazada),Shipping Fee Subsidy (By Seller),Free Shipping Max Fee,Reversal Item Price,Shipping Fee Refund to Customer,Lazada Bonus,Lazada Bonus - LZD co-fund,Shipping Fee Voucher Refund to Laz,Reversal of Free Shipping Max Fee,Commission,Reversal Commission,Sponsored Product Fee,Sponsored Discovery - Top up
24-Jun-2022,Orders-Lazada Fees,Commission,508699217374435,CHARM WHEELS,HANSA HS-PT-154 GLOW PLUG for TOYOTA LITEACE 2C - 11V,2329844064-1631163514426-0,2329844064_PH-10570008312,-1.5,0.16,0,No,20 Jun 2022 - 26 Jun 2022,paid,510431664881136,515120138407139,Delivered,J&T Express PH,standard,Dropshipping,489955581450927,,PH0022001223184,June 2022,#N/A,,,,,,,,,,,,,,,,,,,,
24-Jun-2022,Orders-Lazada Fees,Payment Fee,508699217374435,CHARM WHEELS,HANSA HS-PT-154 GLOW PLUG for TOYOTA LITEACE 2C - 11V,2329844064-1631163514426-0,2329844064_PH-10570008312,-4.39,0.47,0,No,20 Jun 2022 - 26 Jun 2022,paid,499083707293629,501925403839481,Delivered,J&T Express PH,standard,Dropshipping,471163500365651,,PH0022001223184,June 2022,,,,,,,,,,,,,,,,,,,,,
24-Jun-2022,Orders-Sales,Item Price Credit,508699217374435,CHARM WHEELS,HANSA HS-PT-154 GLOW PLUG for TOYOTA LITEACE 2C - 11V,2329844064-1631163514426-0,2329844064_PH-10570008312,150,0,0,No,20 Jun 2022 - 26 Jun 2022,paid,497085549300277,513764459338179,Delivered,J&T Express PH,standard,Dropshipping,435285408148629,,PH0022001223184,June 2022,,,,,,,,,,,,,,,,,,,,,
24-Jun-2022,Orders-Lazada Fees,Commission,508699217274435,CHARM WHEELS,HANSA HS-PT-154 GLOW PLUG for TOYOTA LITEACE 2C - 11V,2329844064-1631163514426-0,2329844064_PH-10570008312,-1.5,0.16,0,No,20 Jun 2022 - 26 Jun 2022,paid,511616169746696,504742003574030,Delivered,J&T Express PH,standard,Dropshipping,524509018542426,,PH0022001223184,June 2022,,,,,,,,,,,,,,,,,,,,,
24-Jun-2022,Orders-Lazada Fees,Payment Fee,508699217274435,CHARM WHEELS,HANSA HS-PT-154 GLOW PLUG for TOYOTA LITEACE 2C - 11V,2329844064-1631163514426-0,2329844064_PH-10570008312,-4.39,0.47,0,No,20 Jun 2022 - 26 Jun 2022,paid,503680776480261,501641604145592,Delivered,J&T Express PH,standard,Dropshipping,523825784020465,,PH0022001223184,June 2022,,,,,,,,,,,,,,,,,,,,,
24-Jun-2022,Orders-Sales,Item Price Credit,508699217274435,CHARM WHEELS,HANSA HS-PT-154 GLOW PLUG for TOYOTA LITEACE 2C - 11V,2329844064-1631163514426-0,2329844064_PH-10570008312,150,0,0,No,20 Jun 2022 - 26 Jun 2022,paid,509063758679944,495944331874245,Delivered,J&T Express PH,standard,Dropshipping,436508191487062,,PH0022001223184,June 2022,,,,,,,,,,,,,,,,,,,,,
24-Jun-2022,Orders-Lazada Fees,Commission,508699217174435,CHARM WHEELS,HANSA HS-PT-154 GLOW PLUG for TOYOTA LITEACE 2C - 11V,2329844064-1631163514426-0,2329844064_PH-10570008312,-1.5,0.16,0,No,20 Jun 2022 - 26 Jun 2022,paid,509134998704845,514194915933076,Delivered,J&T Express PH,standard,Dropshipping,448377971881650,,PH0022001223184,June 2022,,,,,,,,,,,,,,,,,,,,,
24-Jun-2022,Orders-Lazada Fees,Payment Fee,508699217174435,CHARM WHEELS,HANSA HS-PT-154 GLOW PLUG for TOYOTA LITEACE 2C - 11V,2329844064-1631163514426-0,2329844064_PH-10570008312,-4.39,0.47,0,No,20 Jun 2022 - 26 Jun 2022,paid,515534372024531,508055933092553,Delivered,J&T Express PH,standard,Dropshipping,509089111624302,,PH0022001223184,June 2022,,,,,,,,,,,,,,,,,,,,,
24-Jun-2022,Orders-Sales,Item Price Credit,508699217174435,CHARM WHEELS,HANSA HS-PT-154 GLOW PLUG for TOYOTA LITEACE 2C - 11V,2329844064-1631163514426-0,2329844064_PH-10570008312,150,0,0,No,20 Jun 2022 - 26 Jun 2022,paid,510265329061994,515766605354759,Delivered,J&T Express PH,standard,Dropshipping,394924218608394,,PH0022001223184,June 2022,,,,,,,,,,,,,,,,,,,,,
24-Jun-2022,Orders-Marketing Fees,Free Shipping Max Fee,508375036012431,REY MOTOPARTS,QUICK PHOENIX 110/70-17 TUBELESS TIRE,PZAQUICKPHOENIX110/70,1947386331_PH-8406293601,-60,6.43,0,No,20 Jun 2022 - 26 Jun 2022,paid,496792002024082,506507796078458,Delivered,J&T Express PH,standard,Dropshipping,445373119710086,commission program:107-49742,PH0022001223184,June 2022,,,,,,,,,,,,,,,,,,,,,
24-Jun-2022,Orders-Marketing Fees,Free Shipping Max Fee,511845283143040,PARTS PRO,JOHNSEN'S - USA  Battery Cleaner,P01-A1-B012-0060,2873483570_PH-13948837154,-11.19,1.2,0,No,20 Jun 2022 - 26 Jun 2022,paid,500836419686704,500274584868137,Delivered,LEX PH,standard,Dropshipping,365480873068690,commission program:107-49742,PH0022001223184,June 2022,,,,,,,,,,,,,,,,,,,,,
24-Jun-2022,Orders-Marketing Fees,Free Shipping Max Fee,509149821735934,PARTS PRO,MAG 1 Power Steering Fluid with Stop Leak 12oz,P01-A1-B009-0090,2889208796_PH-14035467007,-7.84,0.84,0,No,20 Jun 2022 - 26 Jun 2022,paid,495799635892712,500206726761155,Delivered,LEX PH,standard,Dropshipping,391935235227882,commission program:107-49742,PH0022001223184,June 2022,,,,,,,,,,,,,,,,,,,,,
24-Jun-2022,Orders-Marketing Fees,Free Shipping Max Fee,509149821835934,PARTS PRO,MAG 1 Power Steering Fluid with Stop Leak 12oz,P01-A1-B009-0090,2889208796_PH-14035467007,-7.84,0.84,0,No,20 Jun 2022 - 26 Jun 2022,paid,513280628460817,503949128886802,Delivered,LEX PH,standard,Dropshipping,449654153821158,commission program:107-49742,PH0022001223184,June 2022,,,,,,,,,,,,,,,,,,,,,
24-Jun-2022,Orders-Lazada Fees,Commission,513838512526828,CHARM WHEELS,HARDEX Nut & Bolt Lock Thead Lock Compound,P10-A1-B002-0007,3090615214_PH-15245580301,-1.44,0.15,0,No,20 Jun 2022 - 26 Jun 2022,paid,515368638458112,512095267089947,Delivered,LEX PH,standard,Dropshipping,448288513363300,,PH0022001223184,June 2022,,,,,,,,,,,,,,,,,,,,,
24-Jun-2022,Orders-Lazada Fees,Payment Fee,513838512526828,CHARM WHEELS,HARDEX Nut & Bolt Lock Thead Lock Compound,P10-A1-B002-0007,3090615214_PH-15245580301,-4.16,0.45,0,No,20 Jun 2022 - 26 Jun 2022,paid,514872980055851,506308183037150,Delivered,LEX PH,standard,Dropshipping,448163510630458,,PH0022001223184,June 2022,,,,,,,,,,,,,,,,,,,,,
24-Jun-2022,Orders-Sales,Item Price Credit,513838512526828,PARTS PRO,HARDEX Nut & Bolt Lock Thead Lock Compound,P10-A1-B002-0007,3090615214_PH-15245580301,145,0,0,No,20 Jun 2022 - 26 Jun 2022,paid,503369646941774,498334743610113,Delivered,LEX PH,standard,Dropshipping,471066394350112,,PH0022001223184,June 2022,,,,,,,,,,,,,,,,,,,,,
24-Jun-2022,Orders-Lazada Fees,Commission,511845283143040,PARTS PRO,JOHNSEN'S - USA  Battery Cleaner,P01-A1-B012-0060,2873483570_PH-13948837154,-2.23,0.24,0,No,20 Jun 2022 - 26 Jun 2022,paid,501673357214312,516092281276956,Delivered,LEX PH,standard,Dropshipping,521754632134265,,PH0022001223184,June 2022,,,,,,,,,,,,,,,,,,,,,
