Transaction Date,Transaction Type,Fee Name,Transaction Number,Store,Details,Seller SKU,Lazada SKU,Amount,VAT in Amount,WHT Amount,WHT included in Amount,Statement,Paid Status,Order No.,Order Item No.,Order Item Status,Shipping Provider,Shipping Speed,Shipment Type,Reference,Comment,PaymentRefId
07-Sep-2022,Orders-Lazada Fees,Payment Fee,536366901996725,REY MOTOPARTS,SEC Border Gloss White Half Face Helmet,3206366435-1657616198127-0,3206366435_PH-16060142114,-39.10,4.19,0.00,No,03 Aug 2022 - 03 Aug 2022,paid,517848302063348,545994694322078,Delivered,LEX PH,standard,Dropshipping,363587938131323,,
07-Sep-2022,Orders-Sales,Item Price Credit,461270482267678,REY MOTOPARTS,SEC Border Gloss White Half Face Helmet,3206366435-1657616198127-0,3206366435_PH-16060142114,-43.68,4.68,0.00,No,03 Aug 2022 - 03 Aug 2022,paid,534971860438767,543423806827055,Delivered,LEX PH,standard,Dropshipping,516281523339333,,
07-Sep-2022,Orders-Lazada Fees,Commission,464218886742240,REY MOTOPARTS,SEC Border Gloss White Half Face Helmet,3206366435-1657616198127-0,3206366435_PH-16060142114,"1,950.00",0.00,0.00,No,03 Aug 2022 - 03 Aug 2022,paid,510999610681194,543966623067042,Delivered,LEX PH,standard,Dropshipping,458079181346244,,
07-Sep-2022,Orders-Lazada Fees,Payment Fee,486436880266133,REY MOTOPARTS,PIRELLI DIABLO ROSSO III 140/70X17,2957165956-1650347513621-0,2957165956_PH-14450642307,-130.31,13.96,0.00,No,03 Aug 2022 - 03 Aug 2022,paid,546559579269844,528781304551265,Delivered,J&T Express PH,standard,Dropshipping,402316753809113,,
07-Sep-2022,Orders-Sales,Item Price Credit,535386823592897,REY MOTOPARTS,PIRELLI DIABLO ROSSO III 140/70X17,2957165956-1650347513621-0,2957165956_PH-14450642307,-148.96,15.96,0.00,No,03 Aug 2022 - 03 Aug 2022,paid,527360705806614,543732140445863,Delivered,J&T Express PH,standard,Dropshipping,461595875973001,,
07-Sep-2022,Orders-Lazada Fees,Commission,500081115133193,REY MOTOPARTS,PIRELLI DIABLO ROSSO III 140/70X17,2957165956-1650347513621-0,2957165956_PH-14450642307,"6,500.00",0.00,0.00,No,03 Aug 2022 - 03 Aug 2022,paid,523048651218369,517717142333435,Delivered,J&T Express PH,standard,Dropshipping,541456121166593,,
07-Sep-2022,Orders-Lazada Fees,Payment Fee,536784320461183,REY MOTOPARTS,DERFOE RADIATOR COOLANT (PINK) 4L,PZA-DERFOERADIATORCOOLANT(PINK)4L,2320775735_PH-10522848371,-16.06,1.72,0.00,No,03 Aug 2022 - 03 Aug 2022,paid,541578826930041,520204402628109,Delivered,LEX PH,standard,Dropshipping,464666871024648,,
07-Sep-2022,Orders-Sales,Item Price Credit,537216753737816,REY MOTOPARTS,DERFOE RADIATOR COOLANT (PINK) 4L,PZA-DERFOERADIATORCOOLANT(PINK)4L,2320775735_PH-10522848371,-18.46,1.98,0.00,No,03 Aug 2022 - 03 Aug 2022,paid,544383837839215,539238475196437,Delivered,LEX PH,standard,Dropshipping,463708847661895,,
07-Sep-2022,Orders-Lazada Fees,Commission,536799528460548,REY MOTOPARTS,DERFOE RADIATOR COOLANT (PINK) 4L,PZA-DERFOERADIATORCOOLANT(PINK)4L,2320775735_PH-10522848371,801.00,0.00,0.00,No,03 Aug 2022 - 03 Aug 2022,paid,541614159429799,513329099217269,Delivered,LEX PH,standard,Dropshipping,397515488818214,,
07-Sep-2022,Orders-Lazada Fees,Payment Fee,454142789519665,PARTS PRO,MOTUL Mechanical 100% Synthetic -Complex Ester- GEAR 300 75W90 1 Liter,P01-A1-B002-0022,2934947221_PH-14294537496,-22.57,2.42,0.00,No,01 Aug 2022 - 01 Aug 2022,paid,518709718481740,510453393726344,Delivered,J&T Express PH,standard,Dropshipping,531701803797942,,
07-Sep-2022,Orders-Sales,Item Price Credit,501223365044390,PARTS PRO,MOTUL Mechanical 100% Synthetic -Complex Ester- GEAR 300 75W90 1 Liter,P01-A1-B002-0022,2934947221_PH-14294537496,-22.57,2.42,0.00,No,01 Aug 2022 - 01 Aug 2022,paid,521899571510988,537195428214252,Delivered,J&T Express PH,standard,Dropshipping,399452751830425,,
07-Sep-2022,Orders-Lazada Fees,Commission,474134821998026,FORNIS,MOTUL Mechanical 100% Synthetic -Complex Ester- GEAR 300 75W90 1 Liter,P01-A1-B002-0022,2934947221_PH-14294537496,-22.57,2.42,0.00,No,01 Aug 2022 - 01 Aug 2022,paid,518314974181184,516406965178029,Delivered,J&T Express PH,standard,Dropshipping,358095583036529,,
